"Date","Hour","Temperature Number",,,,,,,,
01/04/14,"20:30",25,,,,,,,,"Mây một phần"
01/04/14,"21:00",25,,,,,,,,"Mây một phần"
01/04/14,"21:30",25,,,,,,,,"Mây một phần"
01/04/14,"22:00",25,,,,,,,,"Mây một phần"
01/04/14,"22:30",25,,,,,,,,"Mây một phần"
01/04/14,"23:00",25,,,,,,,,"Mây một phần"
01/04/14,"23:30",25,,,,,,,,"Mây một phần"
02/04/14,"00:00",25,,,,,,,,"Mây một phần"
02/04/14,"00:30",24,,,,,,,,"Mây một phần"
02/04/14,"01:00",24,,,,,,,,"Mây một phần"
02/04/14,"01:30",25,,,,,,,,"Mây một phần"
02/04/14,"02:00",24,,,,,,,,"Mây một phần"
02/04/14,"02:30",24,,,,,,,,"Mây một phần"
02/04/14,"03:00",23,,,,,,,,"Mây một phần"
02/04/14,"03:30",23,,,,,,,,"Mây một phần"
02/04/14,"04:00",23,,,,,,,,"Mây một phần"
02/04/14,"04:30",23,,,,,,,,"Mây một phần"
02/04/14,"05:00",23,,,,,,,,"Mây một phần"
02/04/14,"05:30",23,,,,,,,,"Mây một phần"
02/04/14,"06:00",23,,,,,,,,"Mây một phần"
02/04/14,"06:30",24,,,,,,,,"Mây một phần"
02/04/14,"07:00",24,,,,,,,,"Mây một phần"
02/04/14,"07:30",25,,,,,,,,"Mây một phần"
02/04/14,"08:00",25,,,,,,,,"Mây một phần"
02/04/14,"08:30",25,,,,,,,,"Ít mây"
02/04/14,"09:00",26,,,,,,,,"Ít mây"
02/04/14,"09:30",27,,,,,,,,"Ít mây"
02/04/14,"10:00",27,,,,,,,,"Ít mây"
02/04/14,"10:30",28,,,,,,,,"Ít mây"
02/04/14,"11:00",28,,,,,,,,"Ít mây"
02/04/14,"11:30",28,,,,,,,,"Ít mây"
02/04/14,"12:00",28,,,,,,,,"Mây một phần"
02/04/14,"12:30",29,,,,,,,,"Mây một phần"
02/04/14,"13:00",29,,,,,,,,"Mây một phần"
02/04/14,"13:30",29,,,,,,,,"Mây một phần"
02/04/14,"14:00",30,,,,,,,,"Mây một phần"
02/04/14,"14:30",29,,,,,,,,"Mây một phần"
02/04/14,"15:00",29,,,,,,,,"Mây một phần"
02/04/14,"15:30",30,,,,,,,,"Mây một phần"
02/04/14,"16:00",28,,,,,,,,"Mây một phần"
02/04/14,"16:30",27,,,,,,,,"Mây một phần"
02/04/14,"17:00",26,,,,,,,,"Mây một phần"
02/04/14,"17:30",26,,,,,,,,"Mây một phần"
02/04/14,"18:00",26,,,,,,,,"Mây một phần"
02/04/14,"18:30",25,,,,,,,,"Mây một phần"
02/04/14,"19:00",24,,,,,,,,"Mây một phần"
02/04/14,"19:30",24,,,,,,,,"Mây một phần"
02/04/14,"20:00",24,,,,,,,,"Mây một phần"
02/04/14,"20:30",25,,,,,,,,"Mây một phần"
02/04/14,"21:00",25,,,,,,,,"Mây một phần"
02/04/14,"21:30",25,,,,,,,,"Ít mây"
02/04/14,"22:00",24,,,,,,,,"Ít mây"
02/04/14,"22:30",24,,,,,,,,"Ít mây"
02/04/14,"23:00",24,,,,,,,,"Ít mây"
02/04/14,"23:30",24,,,,,,,,"Ít mây"
03/04/14,"00:00",24,,,,,,,,"Ít mây"
03/04/14,"00:30",24,,,,,,,,"Ít mây"
03/04/14,"01:00",24,,,,,,,,"Ít mây"
03/04/14,"01:30",24,,,,,,,,"Ít mây"
03/04/14,"02:00",24,,,,,,,,"Ít mây"
03/04/14,"02:30",24,,,,,,,,"Ít mây"
03/04/14,"03:00",24,,,,,,,,"Ít mây"
03/04/14,"03:30",24,,,,,,,,"Ít mây"
03/04/14,"04:00",24,,,,,,,,"Ít mây"
03/04/14,"04:30",24,,,,,,,,"Ít mây"
03/04/14,"05:00",24,,,,,,,,"Ít mây"
03/04/14,"05:30",24,,,,,,,,"Ít mây"
03/04/14,"06:00",24,,,,,,,,"Ít mây"
03/04/14,"06:30",24,,,,,,,,"Mây một phần"
03/04/14,"07:00",24,,,,,,,,"Ít mây"
03/04/14,"07:30",25,,,,,,,,"Ít mây"
03/04/14,"08:00",26,,,,,,,,"Ít mây"
03/04/14,"08:30",27,,,,,,,,"Mây một phần"
03/04/14,"09:00",29,,,,,,,,"Mây một phần"
03/04/14,"09:30",29,,,,,,,,"Mây một phần"
03/04/14,"10:00",30,,,,,,,,"Mây một phần"
03/04/14,"10:30",30,,,,,,,,"Mây một phần"
03/04/14,"11:00",29,,,,,,,,"Mây một phần"
03/04/14,"11:30",29,,,,,,,,"Mây một phần"
03/04/14,"12:00",29,,,,,,,,"Mây một phần"
03/04/14,"12:30",29,,,,,,,,"Mây một phần"
03/04/14,"13:00",28,,,,,,,,"Mây một phần"
03/04/14,"13:30",28,,,,,,,,"Mây một phần"
03/04/14,"14:00",28,,,,,,,,"Ít mây"
03/04/14,"14:30",27,,,,,,,,"Ít mây"
03/04/14,"15:00",26,,,,,,,,"Ít mây"
03/04/14,"15:30",25,,,,,,,,"Sấm"
03/04/14,"16:00",25,,,,,,,,"Sấm"
03/04/14,"16:30",25,,,,,,,,
03/04/14,"17:00",25,,,,,,,,"Sấm"
03/04/14,"17:30",25,,,,,,,,"Mây một phần"
03/04/14,"18:00",25,,,,,,,,"Ít mây"
03/04/14,"18:30",25,,,,,,,,"Mây một phần"
03/04/14,"19:00",25,,,,,,,,"Mây một phần"
03/04/14,"19:30",25,,,,,,,,"Mây một phần"
03/04/14,"20:00",25,,,,,,,,"Mây một phần"
03/04/14,"20:30",25,,,,,,,,"Mây một phần"
03/04/14,"21:00",25,,,,,,,,"Mây một phần"
03/04/14,"21:30",25,,,,,,,,"Mây một phần"
03/04/14,"22:00",25,,,,,,,,"Mây một phần"
03/04/14,"22:30",25,,,,,,,,"Mây một phần"
03/04/14,"23:00",25,,,,,,,,"Mây một phần"
03/04/14,"23:30",24,,,,,,,,"Mây một phần"
04/04/14,"00:00",25,,,,,,,,"Mây một phần"
04/04/14,"00:30",24,,,,,,,,"Mây một phần"
04/04/14,"01:00",24,,,,,,,,"Mây một phần"
04/04/14,"01:30",25,,,,,,,,"Mây một phần"
04/04/14,"02:00",25,,,,,,,,"Mây một phần"
04/04/14,"02:30",25,,,,,,,,"Mây một phần"
04/04/14,"03:00",25,,,,,,,,"Mây một phần"
04/04/14,"03:30",24,,,,,,,,"Mây một phần"
04/04/14,"04:00",24,,,,,,,,"Mây một phần"
04/04/14,"04:30",25,,,,,,,,"Mây một phần"
04/04/14,"05:00",25,,,,,,,,"Mây một phần"
04/04/14,"05:30",24,,,,,,,,"Mây một phần"
04/04/14,"06:00",24,,,,,,,,"Mây một phần"
04/04/14,"06:30",24,,,,,,,,"Mây một phần"
04/04/14,"07:00",25,,,,,,,,"Mây một phần"
04/04/14,"07:30",25,,,,,,,,"Sấm"
04/04/14,"08:00",25,,,,,,,,"Sấm"
04/04/14,"08:30",24,,,,,,,,"Sấm"
04/04/14,"09:00",24,,,,,,,,"Sấm"
04/04/14,"09:30",24,,,,,,,,"Sấm"
04/04/14,"10:00",23,,,,,,,,"Sấm"
04/04/14,"10:30",23,,,,,,,,
04/04/14,"11:00",23,,,,,,,,"Sấm"
04/04/14,"11:30",23,,,,,,,,"Mưa"
04/04/14,"12:00",23,,,,,,,,"Mưa"
04/04/14,"12:30",23,,,,,,,,"Mưa"
04/04/14,"13:00",24,,,,,,,,"Mưa"
04/04/14,"13:30",23,,,,,,,,"Mưa"
04/04/14,"14:00",24,,,,,,,,"Mưa"
04/04/14,"14:30",24,,,,,,,,"Mây một phần"
04/04/14,"15:00",25,,,,,,,,"Mây một phần"
04/04/14,"15:30",25,,,,,,,,"Mây một phần"
04/04/14,"16:00",25,,,,,,,,"Mưa"
04/04/14,"16:30",25,,,,,,,,"Mưa"
04/04/14,"17:00",25,,,,,,,,"Mưa"
04/04/14,"17:30",25,,,,,,,,"Mây một phần"
04/04/14,"18:00",24,,,,,,,,"Mưa"
04/04/14,"18:30",24,,,,,,,,"Mây một phần"
04/04/14,"19:00",24,,,,,,,,"Mây một phần"
04/04/14,"19:30",24,,,,,,,,"Mây một phần"
04/04/14,"20:00",24,,,,,,,,"Mây một phần"
04/04/14,"20:30",24,,,,,,,,"Mây một phần"
04/04/14,"21:00",24,,,,,,,,"Ít mây"
04/04/14,"21:30",23,,,,,,,,"Ít mây"
04/04/14,"22:00",23,,,,,,,,"Ít mây"
04/04/14,"22:30",23,,,,,,,,"Ít mây"
04/04/14,"23:00",23,,,,,,,,"Ít mây"
04/04/14,"23:30",23,,,,,,,,"Ít mây"
05/04/14,"00:00",23,,,,,,,,"Ít mây"
05/04/14,"00:30",23,,,,,,,,"Mây một phần"
05/04/14,"01:00",23,,,,,,,,"Mây một phần"
05/04/14,"01:30",23,,,,,,,,"Mây một phần"
05/04/14,"02:00",23,,,,,,,,"Mây một phần"
05/04/14,"02:30",23,,,,,,,,"Mây một phần"
05/04/14,"03:00",23,,,,,,,,"Mây một phần"
05/04/14,"03:30",22,,,,,,,,"Mây một phần"
05/04/14,"04:00",22,,,,,,,,"Ít mây"
05/04/14,"04:30",22,,,,,,,,"Ít mây"
05/04/14,"05:00",22,,,,,,,,"Ít mây"
05/04/14,"05:30",22,,,,,,,,"Ít mây"
05/04/14,"06:00",22,,,,,,,,"Ít mây"
05/04/14,"06:30",23,,,,,,,,"Ít mây"
05/04/14,"07:00",24,,,,,,,,"Ít mây"
05/04/14,"07:30",24,,,,,,,,"Ít mây"
05/04/14,"08:00",25,,,,,,,,"Ít mây"
05/04/14,"08:30",26,,,,,,,,"Ít mây"
05/04/14,"09:00",26,,,,,,,,"Ít mây"
05/04/14,"09:30",26,,,,,,,,"Ít mây"
05/04/14,"10:00",27,,,,,,,,"Ít mây"
05/04/14,"10:30",28,,,,,,,,"Mây một phần"
05/04/14,"11:00",28,,,,,,,,"Mây một phần"
05/04/14,"11:30",28,,,,,,,,"Ít mây"
05/04/14,"12:00",28,,,,,,,,"Mây một phần"
05/04/14,"12:30",29,,,,,,,,"Ít mây"
05/04/14,"13:00",28,,,,,,,,"Ít mây"
05/04/14,"13:30",27,,,,,,,,"Ít mây"
05/04/14,"14:00",26,,,,,,,,"Ít mây"
05/04/14,"14:30",27,,,,,,,,"Ít mây"
05/04/14,"15:00",27,,,,,,,,"Ít mây"
05/04/14,"15:30",26,,,,,,,,"Ít mây"
05/04/14,"16:00",26,,,,,,,,"Ít mây"
05/04/14,"16:30",26,,,,,,,,"Ít mây"
05/04/14,"17:00",25,,,,,,,,"Ít mây"
05/04/14,"17:30",25,,,,,,,,"Ít mây"
05/04/14,"18:00",25,,,,,,,,"Ít mây"
05/04/14,"18:30",25,,,,,,,,"Ít mây"
05/04/14,"19:00",24,,,,,,,,"Ít mây"
05/04/14,"19:30",25,,,,,,,,"Mây một phần"
05/04/14,"20:00",24,,,,,,,,"Mây một phần"
05/04/14,"20:30",25,,,,,,,,"Mây một phần"
05/04/14,"21:00",25,,,,,,,,"Mây một phần"
05/04/14,"21:30",25,,,,,,,,"Mây một phần"
05/04/14,"22:00",24,,,,,,,,"Mây một phần"
05/04/14,"22:30",24,,,,,,,,"Mây một phần"
05/04/14,"23:00",24,,,,,,,,"Mây một phần"
05/04/14,"23:30",24,,,,,,,,"Mây một phần"
06/04/14,"00:00",24,,,,,,,,"Mây một phần"
06/04/14,"00:30",24,,,,,,,,"Mây một phần"
06/04/14,"01:00",24,,,,,,,,"Mây một phần"
06/04/14,"01:30",24,,,,,,,,"Mây một phần"
06/04/14,"02:00",24,,,,,,,,"Mây một phần"
06/04/14,"02:30",24,,,,,,,,"Mây một phần"
06/04/14,"03:00",24,,,,,,,,"Mây một phần"
06/04/14,"03:30",24,,,,,,,,"Mây một phần"
06/04/14,"04:00",24,,,,,,,,"Mây một phần"
06/04/14,"04:30",24,,,,,,,,"Mây một phần"
06/04/14,"05:00",24,,,,,,,,"Mây một phần"
06/04/14,"05:30",23,,,,,,,,"Mây một phần"
06/04/14,"06:00",24,,,,,,,,"Mây một phần"
06/04/14,"06:30",24,,,,,,,,"Mây một phần"
06/04/14,"07:00",24,,,,,,,,"Mây một phần"
06/04/14,"07:30",25,,,,,,,,"Mây một phần"
06/04/14,"08:00",26,,,,,,,,"Mây một phần"
06/04/14,"08:30",27,,,,,,,,"Mây một phần"
06/04/14,"09:00",28,,,,,,,,"Mây một phần"
06/04/14,"09:30",28,,,,,,,,"Mây một phần"
06/04/14,"10:00",27,,,,,,,,"Ít mây"
06/04/14,"10:30",28,,,,,,,,"Ít mây"
06/04/14,"11:00",27,,,,,,,,"Ít mây"
06/04/14,"11:30",28,,,,,,,,"Ít mây"
06/04/14,"12:00",28,,,,,,,,"Mây một phần"
06/04/14,"12:30",28,,,,,,,,"Mây một phần"
06/04/14,"13:00",29,,,,,,,,"Mây một phần"
06/04/14,"13:30",29,,,,,,,,"Ít mây"
06/04/14,"14:00",29,,,,,,,,"Ít mây"
06/04/14,"14:30",28,,,,,,,,"Ít mây"
06/04/14,"15:00",28,,,,,,,,"Ít mây"
06/04/14,"15:30",28,,,,,,,,"Ít mây"
06/04/14,"16:00",28,,,,,,,,"Ít mây"
06/04/14,"16:30",27,,,,,,,,"Ít mây"
06/04/14,"17:00",26,,,,,,,,"Ít mây"
06/04/14,"17:30",26,,,,,,,,"Ít mây"
06/04/14,"18:00",26,,,,,,,,"Ít mây"
06/04/14,"18:30",25,,,,,,,,"Ít mây"
06/04/14,"19:00",25,,,,,,,,"Ít mây"
06/04/14,"19:30",25,,,,,,,,"Ít mây"
06/04/14,"20:00",25,,,,,,,,"Ít mây"
06/04/14,"20:30",25,,,,,,,,"Ít mây"
06/04/14,"21:00",25,,,,,,,,"Ít mây"
06/04/14,"21:30",25,,,,,,,,"Ít mây"
06/04/14,"22:00",25,,,,,,,,"Ít mây"
06/04/14,"22:30",25,,,,,,,,"Ít mây"
06/04/14,"23:00",25,,,,,,,,"Ít mây"
06/04/14,"23:30",24,,,,,,,,"Ít mây"
07/04/14,"00:00",24,,,,,,,,"Ít mây"
07/04/14,"00:30",24,,,,,,,,"Ít mây"
07/04/14,"01:00",24,,,,,,,,"Ít mây"
07/04/14,"01:30",24,,,,,,,,"Ít mây"
07/04/14,"02:00",24,,,,,,,,"Ít mây"
07/04/14,"02:30",24,,,,,,,,"Ít mây"
07/04/14,"03:00",24,,,,,,,,"Ít mây"
07/04/14,"03:30",24,,,,,,,,"Ít mây"
07/04/14,"04:00",24,,,,,,,,"Ít mây"
07/04/14,"04:30",24,,,,,,,,"Ít mây"
07/04/14,"05:00",24,,,,,,,,"Ít mây"
07/04/14,"05:30",24,,,,,,,,"Mây một phần"
07/04/14,"06:00",24,,,,,,,,"Mây một phần"
07/04/14,"06:30",24,,,,,,,,"Mây một phần"
07/04/14,"07:00",25,,,,,,,,"Ít mây"
07/04/14,"07:30",26,,,,,,,,"Ít mây"
07/04/14,"08:00",27,,,,,,,,"Ít mây"
07/04/14,"08:30",28,,,,,,,,"Ít mây"
07/04/14,"09:00",29,,,,,,,,"Ít mây"
07/04/14,"09:30",30,,,,,,,,"Ít mây"
07/04/14,"10:00",29,,,,,,,,"Ít mây"
07/04/14,"10:30",30,,,,,,,,"Ít mây"
07/04/14,"11:00",31,,,,,,,,"Ít mây"
07/04/14,"11:30",31,,,,,,,,"Ít mây"
07/04/14,"12:00",31,,,,,,,,"Ít mây"
07/04/14,"12:30",31,,,,,,,,"Ít mây"
07/04/14,"13:00",29,,,,,,,,"Ít mây"
07/04/14,"13:30",29,,,,,,,,"Ít mây"
07/04/14,"14:00",29,,,,,,,,"Ít mây"
07/04/14,"14:30",28,,,,,,,,"Ít mây"
07/04/14,"15:00",28,,,,,,,,"Ít mây"
07/04/14,"15:30",26,,,,,,,,"Ít mây"
07/04/14,"16:00",26,,,,,,,,"Ít mây"
07/04/14,"16:30",26,,,,,,,,"Mây một phần"
07/04/14,"17:00",26,,,,,,,,"Mây một phần"
07/04/14,"17:30",26,,,,,,,,"Sấm"
07/04/14,"18:00",26,,,,,,,,"Sấm"
07/04/14,"18:30",25,,,,,,,,"Sấm"
07/04/14,"19:00",25,,,,,,,,"Mây một phần"
07/04/14,"19:30",25,,,,,,,,"Mây một phần"
07/04/14,"20:00",25,,,,,,,,
07/04/14,"20:30",26,,,,,,,,"Mây một phần"
07/04/14,"21:00",26,,,,,,,,"Mây một phần"
07/04/14,"21:30",25,,,,,,,,"Ít mây"
07/04/14,"22:00",25,,,,,,,,"Ít mây"
07/04/14,"22:30",24,,,,,,,,"Ít mây"
07/04/14,"23:00",24,,,,,,,,"Ít mây"
07/04/14,"23:30",24,,,,,,,,"Ít mây"
08/04/14,"00:00",23,,,,,,,,"Ít mây"
08/04/14,"00:30",23,,,,,,,,"Ít mây"
08/04/14,"01:00",23,,,,,,,,"Ít mây"
08/04/14,"01:30",23,,,,,,,,"Ít mây"
08/04/14,"02:00",23,,,,,,,,"Ít mây"
08/04/14,"02:30",23,,,,,,,,"Ít mây"
08/04/14,"03:00",23,,,,,,,,"Ít mây"
08/04/14,"03:30",23,,,,,,,,"Ít mây"
08/04/14,"04:00",23,,,,,,,,"Ít mây"
08/04/14,"04:30",23,,,,,,,,"Ít mây"
08/04/14,"05:00",23,,,,,,,,"Ít mây"
08/04/14,"05:30",23,,,,,,,,"Ít mây"
08/04/14,"06:00",23,,,,,,,,"Ít mây"
08/04/14,"06:30",24,,,,,,,,"Ít mây"
08/04/14,"07:00",25,,,,,,,,"Ít mây"
08/04/14,"07:30",25,,,,,,,,"Ít mây"
08/04/14,"08:00",27,,,,,,,,"Ít mây"
08/04/14,"08:30",27,,,,,,,,"Ít mây"
08/04/14,"09:00",27,,,,,,,,"Ít mây"
08/04/14,"09:30",28,,,,,,,,"Ít mây"
08/04/14,"10:00",29,,,,,,,,"Ít mây"
08/04/14,"10:30",30,,,,,,,,"Mây một phần"
08/04/14,"11:00",31,,,,,,,,"Mây một phần"
08/04/14,"11:30",31,,,,,,,,"Mây một phần"
08/04/14,"12:00",31,,,,,,,,"Mây một phần"
08/04/14,"12:30",32,,,,,,,,"Mây một phần"
08/04/14,"13:00",31,,,,,,,,"Mây một phần"
08/04/14,"13:30",30,,,,,,,,"Mây một phần"
08/04/14,"14:00",29,,,,,,,,"Mây một phần"
08/04/14,"14:30",29,,,,,,,,"Mây một phần"
08/04/14,"15:00",27,,,,,,,,"Mây một phần"
08/04/14,"15:30",28,,,,,,,,"Mây một phần"
08/04/14,"16:00",23,,,,,,,,"Sấm"
08/04/14,"16:30",23,,,,,,,,"Sấm"
08/04/14,"17:00",24,,,,,,,,"Mây một phần"
08/04/14,"17:30",25,,,,,,,,"Mây một phần"
08/04/14,"18:00",24,,,,,,,,"Mưa"
08/04/14,"18:30",24,,,,,,,,"Mưa"
08/04/14,"19:00",24,,,,,,,,"Mưa"
08/04/14,"19:30",24,,,,,,,,"Mây một phần"
08/04/14,"20:00",24,,,,,,,,"Ít mây"
08/04/14,"20:30",23,,,,,,,,"Ít mây"
08/04/14,"21:00",24,,,,,,,,"Ít mây"
08/04/14,"21:30",24,,,,,,,,"Ít mây"
08/04/14,"22:00",23,,,,,,,,"Ít mây"
08/04/14,"22:30",23,,,,,,,,"Ít mây"
08/04/14,"23:00",23,,,,,,,,"Ít mây"
08/04/14,"23:30",23,,,,,,,,"Ít mây"
09/04/14,"00:00",23,,,,,,,,"Ít mây"
09/04/14,"00:30",23,,,,,,,,"Ít mây"
09/04/14,"01:00",23,,,,,,,,"Ít mây"
09/04/14,"01:30",23,,,,,,,,"Ít mây"
09/04/14,"02:00",22,,,,,,,,"Ít mây"
09/04/14,"02:30",22,,,,,,,,"Ít mây"
09/04/14,"03:00",22,,,,,,,,"Ít mây"
09/04/14,"03:30",22,,,,,,,,"Ít mây"
09/04/14,"04:00",22,,,,,,,,"Ít mây"
09/04/14,"04:30",22,,,,,,,,"Ít mây"
09/04/14,"05:00",22,,,,,,,,"Ít mây"
09/04/14,"05:30",22,,,,,,,,"Ít mây"
09/04/14,"06:00",22,,,,,,,,"Mây một phần"
09/04/14,"06:30",23,,,,,,,,"Mây một phần"
09/04/14,"07:00",24,,,,,,,,"Mây một phần"
09/04/14,"07:30",26,,,,,,,,"Mây một phần"
09/04/14,"08:00",26,,,,,,,,"Mây một phần"
09/04/14,"08:30",27,,,,,,,,"Mây một phần"
09/04/14,"09:00",28,,,,,,,,"Mây một phần"
09/04/14,"09:30",29,,,,,,,,"Mây một phần"
09/04/14,"10:00",30,,,,,,,,"Mây một phần"
09/04/14,"10:30",30,,,,,,,,"Ít mây"
09/04/14,"11:00",30,,,,,,,,"Ít mây"
09/04/14,"11:30",30,,,,,,,,"Ít mây"
09/04/14,"12:00",30,,,,,,,,"Ít mây"
09/04/14,"12:30",30,,,,,,,,"Ít mây"
09/04/14,"13:00",30,,,,,,,,"Ít mây"
09/04/14,"13:30",30,,,,,,,,"Ít mây"
09/04/14,"14:00",29,,,,,,,,"Ít mây"
09/04/14,"14:30",30,,,,,,,,"Ít mây"
09/04/14,"15:00",28,,,,,,,,"Ít mây"
09/04/14,"15:30",28,,,,,,,,"Ít mây"
09/04/14,"16:00",28,,,,,,,,"Ít mây"
09/04/14,"16:30",28,,,,,,,,"Ít mây"
09/04/14,"17:00",28,,,,,,,,"Ít mây"
09/04/14,"17:30",27,,,,,,,,"Ít mây"
09/04/14,"18:00",27,,,,,,,,"Ít mây"
09/04/14,"18:30",27,,,,,,,,"Ít mây"
09/04/14,"19:00",27,,,,,,,,"Ít mây"
09/04/14,"19:30",27,,,,,,,,"Ít mây"
09/04/14,"20:00",27,,,,,,,,"Ít mây"
09/04/14,"20:30",27,,,,,,,,"Ít mây"
09/04/14,"21:00",26,,,,,,,,"Ít mây"
09/04/14,"21:30",26,,,,,,,,"Ít mây"
09/04/14,"22:00",26,,,,,,,,"Ít mây"
09/04/14,"22:30",26,,,,,,,,"Ít mây"
09/04/14,"23:00",26,,,,,,,,"Ít mây"
09/04/14,"23:30",26,,,,,,,,"Ít mây"
10/04/14,"00:00",25,,,,,,,,"Ít mây"
10/04/14,"00:30",25,,,,,,,,"Ít mây"
10/04/14,"01:00",25,,,,,,,,"Ít mây"
10/04/14,"01:30",25,,,,,,,,"Ít mây"
10/04/14,"02:00",25,,,,,,,,"Ít mây"
10/04/14,"02:30",24,,,,,,,,"Ít mây"
10/04/14,"03:00",24,,,,,,,,"Ít mây"
10/04/14,"03:30",24,,,,,,,,"Ít mây"
10/04/14,"04:00",24,,,,,,,,"Ít mây"
10/04/14,"04:30",24,,,,,,,,"Ít mây"
10/04/14,"05:00",24,,,,,,,,"Ít mây"
10/04/14,"05:30",23,,,,,,,,"Ít mây"
10/04/14,"06:00",23,,,,,,,,"Ít mây"
10/04/14,"06:30",24,,,,,,,,"Ít mây"
10/04/14,"07:00",26,,,,,,,,"Ít mây"
10/04/14,"07:30",27,,,,,,,,"Ít mây"
10/04/14,"08:00",28,,,,,,,,"Ít mây"
10/04/14,"08:30",30,,,,,,,,"Ít mây"
10/04/14,"09:00",30,,,,,,,,"Ít mây"
10/04/14,"09:30",30,,,,,,,,"Ít mây"
10/04/14,"10:00",31,,,,,,,,"Ít mây"
10/04/14,"10:30",31,,,,,,,,"Ít mây"
10/04/14,"11:00",31,,,,,,,,"Ít mây"
10/04/14,"11:30",30,,,,,,,,"Ít mây"
10/04/14,"12:00",31,,,,,,,,"Ít mây"
10/04/14,"12:30",31,,,,,,,,"Ít mây"
10/04/14,"13:00",31,,,,,,,,"Ít mây"
10/04/14,"13:30",31,,,,,,,,"Ít mây"
10/04/14,"14:00",30,,,,,,,,"Ít mây"
10/04/14,"14:30",30,,,,,,,,"Ít mây"
10/04/14,"15:00",30,,,,,,,,"Ít mây"
10/04/14,"15:30",29,,,,,,,,"Ít mây"
10/04/14,"16:00",29,,,,,,,,"Ít mây"
10/04/14,"16:30",29,,,,,,,,"Ít mây"
10/04/14,"17:00",28,,,,,,,,"Ít mây"
10/04/14,"17:30",27,,,,,,,,"Ít mây"
10/04/14,"18:00",27,,,,,,,,"Ít mây"
10/04/14,"18:30",26,,,,,,,,"Ít mây"
10/04/14,"19:00",26,,,,,,,,"Ít mây"
10/04/14,"19:30",26,,,,,,,,"Ít mây"
10/04/14,"20:00",26,,,,,,,,"Ít mây"
10/04/14,"20:30",26,,,,,,,,"Ít mây"
10/04/14,"21:00",26,,,,,,,,"Ít mây"
10/04/14,"21:30",26,,,,,,,,"Ít mây"
10/04/14,"22:00",26,,,,,,,,"Ít mây"
10/04/14,"22:30",26,,,,,,,,
10/04/14,"23:00",26,,,,,,,,"Ít mây"
10/04/14,"23:30",26,,,,,,,,"Ít mây"
11/04/14,"00:00",26,,,,,,,,"Ít mây"
11/04/14,"00:30",26,,,,,,,,"Ít mây"
11/04/14,"01:00",26,,,,,,,,"Ít mây"
11/04/14,"01:30",25,,,,,,,,"Ít mây"
11/04/14,"02:00",25,,,,,,,,"Ít mây"
11/04/14,"02:30",25,,,,,,,,"Ít mây"
11/04/14,"03:00",24,,,,,,,,"Ít mây"
11/04/14,"03:30",24,,,,,,,,"Ít mây"
11/04/14,"04:00",24,,,,,,,,"Ít mây"
11/04/14,"04:30",24,,,,,,,,"Ít mây"
11/04/14,"05:00",24,,,,,,,,"Ít mây"
11/04/14,"05:30",24,,,,,,,,"Ít mây"
11/04/14,"06:00",24,,,,,,,,"Ít mây"
